id,dist
1,31.0
2,39.0
3,78.0
4,53.0
5,90.0
6,0.0
7,59.0
8,76.0
9,59.0
10,55.0
11,41.0
12,80.0
13,105.0
14,132.0
15,82.0
16,74.0
17,43.0
18,67.0
19,69.0
20,80.0
21,52.0
22,57.0
23,81.0
24,63.0
25,111.0
26,114.0
27,87.0
28,101.0
29,132.0
30,70.0
31,89.0
32,70.0
33,97.0
34,98.0
35,150.0
36,101.0
37,124.0
38,117.0
39,95.0
40,129.0
41,112.0
42,68.0
43,73.0
44,94.0
45,37.0
46,86.0
47,46.0
48,29.0
49,92.0
50,95.0
51,117.0
52,61.0
53,113.0
54,68.0
55,104.0
56,123.0
57,150.0
58,84.0
59,124.0
60,90.0
61,80.0
62,95.0
63,106.0
64,97.0
65,99.0
66,78.0
67,77.0
68,82.0
69,85.0
70,89.0
71,93.0
72,158.0
73,141.0
74,95.0
75,73.0
76,125.0
77,74.0
78,123.0
79,96.0
80,85.0
81,86.0
82,71.0
83,150.0
84,85.0
85,57.0
86,73.0
87,119.0
88,53.0
89,60.0
90,107.0
91,92.0
92,71.0
93,65.0
94,47.0
95,124.0
96,94.0
97,108.0
98,58.0
99,79.0
100,80.0
101,97.0
102,141.0
103,105.0
104,144.0
105,145.0
106,167.0
107,193.0
108,101.0
109,100.0
110,101.0
111,97.0
112,111.0
113,116.0
114,117.0
115,108.0
116,111.0
117,126.0
118,115.0
119,175.0
120,105.0
121,199.0
122,136.0
123,149.0
124,127.0
125,138.0
126,108.0
127,172.0
128,160.0
129,151.0
130,105.0
131,97.0
132,121.0
133,151.0
134,132.0
135,181.0
136,104.0
137,101.0
138,79.0
139,134.0
140,101.0
141,104.0
142,117.0
143,124.0
144,171.0
145,133.0
146,139.0
147,160.0
148,121.0
149,143.0
150,125.0
151,159.0
152,128.0
153,125.0
154,157.0
155,136.0
156,146.0
157,108.0
158,132.0
159,150.0
160,166.0
161,110.0
162,173.0
163,127.0
164,144.0
165,208.0
166,195.0
167,157.0
168,156.0
169,226.0
170,129.0
171,115.0
172,125.0
173,118.0
174,113.0
175,149.0
176,228.0
177,149.0
178,137.0
179,177.0
180,115.0
181,215.0
182,161.0
183,184.0
184,96.0
185,92.0
186,103.0
187,112.0
188,121.0
189,98.0
190,194.0
191,158.0
192,100.0
193,121.0
194,87.0
195,120.0
196,120.0
197,108.0
198,103.0
199,92.0
200,98.0
201,125.0
202,159.0
203,101.0
204,107.0
205,191.0
206,148.0
207,173.0
208,119.0
209,84.0
210,100.0
211,184.0
212,145.0
213,74.0
214,95.0
215,95.0
216,100.0
217,177.0
218,95.0
219,126.0
220,89.0
221,92.0
222,132.0
223,100.0
224,113.0
225,143.0
226,115.0
227,126.0
228,141.0
229,102.0
230,92.0
231,190.0
232,159.0
233,134.0
234,73.0
235,99.0
236,115.0
237,92.0
238,121.0
239,109.0
240,118.0
241,113.0
242,111.0
243,96.0
244,119.0
245,150.0
246,158.0
247,147.0
248,141.0
249,132.0
250,213.0
251,147.0
252,86.0
253,138.0
254,211.0
255,111.0
256,111.0
257,143.0
258,113.0
259,82.0
260,105.0
261,101.0
262,130.0
263,148.0
264,107.0
265,105.0
266,100.0
267,117.0
268,100.0
269,132.0
270,126.0
271,196.0
272,99.0
273,104.0
274,114.0
275,148.0
276,100.0
277,99.0
278,93.0
279,122.0
280,97.0
281,95.0
282,115.0
283,83.0
284,99.0
285,95.0
286,116.0
287,133.0
288,117.0
289,85.0
290,109.0
291,85.0
292,110.0
293,107.0
294,120.0
295,177.0
296,204.0
297,168.0
298,163.0
299,131.0
300,226.0
301,113.0
302,91.0
303,96.0
304,217.0
305,152.0
306,85.0
307,86.0
308,144.0
309,107.0
310,98.0
311,101.0
312,195.0
313,121.0
314,131.0
315,102.0
316,125.0
317,129.0
318,93.0
319,115.0
320,133.0
321,110.0
322,178.0
323,142.0
324,174.0
325,93.0
326,110.0
327,136.0
328,110.0
329,133.0
330,115.0
331,186.0
332,177.0
333,169.0
334,57.0
335,76.0
336,131.0
337,110.0
338,86.0
339,56.0
340,120.0
341,98.0
342,107.0
343,105.0
344,141.0
345,115.0
346,191.0
347,123.0
348,191.0
349,116.0
350,157.0
351,110.0
352,186.0
353,172.0
354,117.0
355,99.0
356,135.0
357,131.0
358,84.0
359,108.0
360,95.0
361,97.0
362,109.0
363,99.0
364,77.0
365,118.0
366,78.0
367,113.0
368,91.0
369,108.0
370,149.0
371,116.0
372,152.0
373,94.0
374,125.0
375,103.0
376,125.0
377,96.0
378,89.0
379,126.0
380,168.0
381,167.0
382,131.0
383,140.0
384,112.0
385,145.0
386,127.0
387,111.0
388,200.0
389,170.0
390,164.0
391,134.0
392,202.0
393,141.0
394,85.0
395,152.0
396,146.0
397,204.0
398,174.0
399,124.0
400,173.0
401,177.0
402,80.0
403,72.0
404,96.0
405,120.0
406,115.0
407,80.0
408,139.0
409,114.0
410,70.0
411,100.0
412,89.0
413,118.0
414,108.0
415,122.0
416,134.0
417,155.0
418,236.0
419,228.0
420,112.0
421,96.0
422,209.0
423,92.0
424,99.0
425,143.0
426,136.0
427,114.0
428,115.0
429,117.0
430,113.0
431,93.0
432,108.0
433,80.0
434,69.0
435,101.0
436,86.0
437,95.0
438,48.0
439,70.0
440,84.0
441,85.0
442,87.0
443,107.0
444,85.0
445,68.0
446,103.0
447,158.0
448,73.0
449,125.0
450,99.0
451,100.0
452,53.0
453,80.0
454,51.0
455,141.0
456,91.0
457,102.0
458,74.0
459,78.0
460,148.0
461,125.0
462,57.0
463,153.0
464,167.0
465,126.0
466,124.0
467,138.0
468,113.0
469,129.0
470,159.0
471,85.0
472,77.0
473,83.0
474,72.0
475,138.0
476,82.0
477,181.0
478,196.0
479,197.0
480,190.0
481,159.0
482,231.0
483,277.0
484,151.0
485,208.0
486,248.0
487,101.0
488,121.0
489,142.0
490,129.0
491,175.0
492,201.0
493,117.0
494,139.0
495,110.0
496,91.0
497,113.0
498,196.0
499,164.0
500,163.0
501,132.0
502,166.0
503,209.0
504,120.0
505,180.0
506,143.0
507,96.0
508,203.0
509,99.0
510,194.0
511,192.0
512,62.0
513,119.0
514,117.0
515,189.0
516,117.0
517,178.0
518,119.0
519,133.0
520,193.0
521,182.0
522,185.0
523,197.0
524,189.0
525,167.0
526,100.0
527,173.0
528,153.0
529,82.0
530,122.0
531,103.0
532,90.0
533,180.0
534,105.0
535,88.0
536,141.0
537,61.0
538,110.0
539,109.0
540,88.0
541,85.0
542,183.0
543,104.0
544,135.0
545,117.0
546,131.0
547,88.0
548,159.0
549,100.0
550,100.0
551,155.0
552,91.0
553,87.0
554,177.0
555,110.0
556,118.0
557,114.0
558,99.0
559,92.0
560,114.0
561,90.0
562,183.0
563,181.0
564,123.0
565,97.0
566,135.0
567,135.0
568,92.0
569,81.0
570,72.0
571,134.0
572,64.0
573,120.0
574,108.0
575,122.0
576,145.0
577,125.0
578,205.0
579,134.0
580,86.0
581,188.0
582,168.0
583,138.0
584,146.0
585,94.0
586,133.0
587,198.0
588,157.0
589,177.0
590,136.0
591,181.0
592,195.0
593,170.0
594,235.0
595,156.0
596,127.0
597,93.0
598,153.0
599,150.0
600,139.0
601,96.0
602,117.0
603,154.0
604,113.0
605,188.0
606,180.0
607,101.0
608,173.0
609,94.0
610,137.0
611,95.0
612,153.0
613,138.0
614,150.0
615,168.0
616,111.0
617,88.0
618,82.0
619,119.0
620,105.0
621,106.0
622,105.0
623,136.0
624,152.0
625,155.0
626,66.0
627,193.0
628,98.0
629,96.0
630,144.0
631,146.0
632,86.0
633,130.0
634,97.0
635,99.0
636,102.0
637,118.0
638,169.0
639,98.0
640,121.0
641,179.0
642,96.0
643,193.0
644,126.0
645,98.0
646,112.0
647,127.0
648,178.0
649,107.0
650,149.0
651,138.0
652,132.0
653,86.0
654,141.0
655,93.0
656,135.0
657,102.0
658,95.0
659,145.0
660,89.0
661,99.0
662,111.0
663,128.0
664,150.0
665,71.0
666,141.0
667,95.0
668,66.0
669,151.0
670,172.0
671,101.0
672,187.0
673,179.0
674,108.0
675,131.0
676,132.0
677,102.0
678,91.0
679,92.0
680,191.0
681,177.0
682,112.0
683,170.0
684,126.0
685,162.0
686,110.0
687,198.0
688,174.0
689,151.0
690,116.0
691,122.0
692,116.0
693,143.0
694,198.0
695,213.0
696,174.0
697,137.0
698,110.0
699,176.0
700,177.0
701,107.0
702,172.0
703,125.0
704,140.0
705,105.0
706,116.0
707,107.0
708,115.0
709,130.0
710,180.0
711,72.0
712,140.0
713,163.0
714,105.0
715,115.0
716,189.0
717,170.0
718,124.0
